subject,number,name,credit_num,description,prerequisites,course
ANTH,310,Ethnographic Film ,3,"The objectives of the course are to present ethnographic films that introduce the concept of culture, the significance of diversity and representation of the other, and address key processes and issues in anthropological filmmaking.",ANTH 211 or SOCY 201 with a grade of ‘C’ or better.,ANTH 310
ANTH,311,Urban Anthropology ,3,"This course examines the phenomenon of urbanism, highlighting the intersections between city life, social organization, and culture throughout the world. Cities will be analyzed from a holistic perspective, detailing the evolution and organization of cities, their impact on diverse populations, and possibilities for sustainability.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 311
ANTH,312,Medical Anthropology ,3,"This course explores human health and illness in cultural and social contexts. This course will introduce a range of concerns and approaches within medical anthropology, introducing key concepts and methods. It will examine how people in different places and positions experience illness, suffering, healing, and their bodies more generally and the roles played by cultural, social, political, economic, legal, and technological factors. This course will also explore how research within this field is conducted, analyzed, written about, and translated into policy.",ENGL 100 and ( ANTH 211 or SOCY 101 ) with a grade of ‘C’ or better.,ANTH 312
ANTH,313,Applied Anthropology ,3,"Applied Anthropologists employ the theories and methods of anthropology to address practical problems and social issues in cultural context. Applied anthropologists often have the goal of improving the lives and well-being of human groups worldwide and attend to issues of inequality and social justice. This course explores how anthropologists use an anthropological lens to analyze and intervene on a range of issues, which may include discussions of international development, women’s rights, education policy, and health care. Applied Anthropology explores theories of practice, common methods used and refined by applied anthropologists, and the ethical debates surrounding applied work. In addition, students examine how understandings of culture, subjectivity, and sociohistorical experience can help inform interventions and policy.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 313
ANTH,316,Anthropology of Religion ,3,"This course examines the nature of belief systems, myth, and ritual in various societies of the world through ethnographic case studies. Cases to be examined may be drawn from societies in South America, Asia, the Pacific, Africa and the United States. Using these different case studies, the course examines a range of perspectives used by anthropologists to understand religious practices and belief systems.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 316
ANTH,317,Contemporary Problems in Anthropological Perspective: Special Topics ,3,"The course explores issues of global significance from a cross-cultural perspective by focusing on the tensions between increasing diversity of perspective in an increasingly interdependent world. From the viewpoints of an emergent anthropology in action, we will examine the comparative, cross-cultural contexts of demographic change, ecology, economic development, information systems, international health, and nationalism. We will study anthropological texts that broaden the cultural analysis of the global change process and its effects on institutions and communities. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 12 credits or 4 attempts.",,ANTH 317
ANTH,318,Anthropology of Science and Technology ,3,"This course explores the social construction of science and technology across cultural contexts. The course will examine the social expectations of science, how scientists do their work, and the ways that scientific activity is embedded in contexts of capitalism, institutional arrangements, politics, and religion. The course will also examine the products of science, looking at how technology shapes social interaction and engagement with the world.",ENGL 100 and ( ANTH 211 or SOCY 101 ) with a ‘C’ or higher.,ANTH 318
ANTH,320,Witchcraft and Magic ,3,"This is a course that concerns witchcraft, magic and sorcery. These behavioral and symbolic forms exist or have existed in virtually all human societies and cultures. In the West, they may be generally referred to as occult practices, exist in a separate domain from everyday life, and refer to an unseen world. In contrast, in indigenous societies, witchcraft, magic and sorcery may permeate life and interpersonal relations in distinctive ways. Currently, the significance and role of witchcraft have been increasing in importance in many cultures; in addition, the development of Wicca in the West also attests to the vitality of these beliefs. In this class, we will deal with a variety of issues, including defining these entities, showing how they work in different types of societies, exploring differences among traditions, and discussing if and how they might work.",,ANTH 320
ANTH,321,"Education, Culture, and Society ",3,"This course takes an anthropological approach to the study of education. Students will examine the sociocultural dynamics of teaching and learning across diverse settings within the U.S. and other societies, focusing on the interrelationships among educational processes, cultural identities and structures of power. Students will explore how such analyses inform public discourses on schooling and efforts at reform.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 321
ANTH,322,Forensic Anthropology ,3,"This course examines the science and methods of physical anthropology as it relates to medico-legal work done to identify unknown dead found in atypical circumstances. This introductory course in forensic science introduces human osteology and dentition to identify age, sex, stature and ancestry; methods for processing remains and interpreting evidence of trauma; and techniques for estimating the time of death and post-death affects. Be advised that course materials graphically depict trauma-inflicted individuals in states of decomposition.","ANTH 101 , ANTH 211 , ANTH 302 , ARCH 100 , BIOL 101 , or BIOL 141 with a grade of ‘C’ or better.",ANTH 322
ANTH,326,American Indian Cultures ,3,"Drawing on contemporary ethnographic studies, this course explores the cultural diversity of peoples indigenous to the Americas. It focuses in particular on North American Indians’ political and economic adaptation in response to social change.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 326
ANTH,367,The Anthropology of Gender ,3,"The Anthropology of Gender concerns the wide range of meanings given to gender and sexuality in different settings. In exploring how gender and sexuality are culturally constructed the course does not focus on the biology of gender and sexuality per se. Rather, the course explores distinctive people’s understandings of gender and sexuality. Lectures focus on basic principles by which to examine gender in cross-cultural perspective. Readings focus on detailed and complex examples of distinctive gender and sexuality system.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 367
ANTH,380,Energy in Crisis ,3,"What constitutes an energy crisis? Our ways of life - our relationship to our cars, cities, industries, and governments - are shaped by our ability to harness, distribute, and consume energy commodities. However, the belief in supply shortages, the wildly fluctuating prices of energy markets, anti-democratic politics, environmental degradation, and climate change force us to question the sustainability of our present energy usage. This course will explore how tensions within these processes manifest throughout energy networks in ways that both create possibilities for and limitations to social change, the environment, democracy, and economic development. In this course, we will trace how energy connects us to communities, the media, corporations and the state, making an energy crisis something that is intimately experienced in our daily lives.      (Fall)",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 380
ANTH,381,Design and Culture ,3,"This course explores the intersections of design and culture, examining how approaches from applied anthropology can be employed in conjunction with human-centered design to confront critical challenges in business, activism, planning, and technology. During the semester the course will explore the cultural politics of design, development, and innovation in a variety of domains, drawing attention to how anthropology can shape how we design objects (product and user experience design), places (environmental and urban design), and systems (app design, algorithms, and humanitarian engineering). Through these areas we will also highlight how we can challenge design orthodoxies with critical, indigenous, and decolonial perspectives.      (Fall)",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 381
ANTH,382,Global Flows in Local Worlds: The Anthropology of Globalization ,3,"Global Flows in Local Worlds examines globalization from the perspective of local communities. Students will explore the interaction among transnational economic, technological, ideological, and material flows and local ways of life. The course will use ethnographies and case studies to examine how development and tourism ideologies, media, and migration/transmigration, among other issues, are experienced at the local level, with particular attention to issues of identity, social relationships, subsistence, and well-being. By exploring globalization with a qualitative, insider perspective, this course will provide students with insight into the deep social and cultural webs connecting and transforming societies worldwide.",ANTH 211 or SOCY 101 with a grade of ‘C’ or better.,ANTH 382
ANTH,397,Selected Topics in Anthropology ,3,"Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 12 credits. Recommended Preparation: ANTH 211 , SOCY 101 .",,ANTH 397
ANTH,399,Independent Study (1,3,This course is repeatable for credit.,Nine credits of Anthropology courses with a grade of ‘C’ or better.,ANTH 399
ANTH,400,Anthropological Theory ,3,This course presents anthropological theory in historical perspective focusing on the rise of a distinct anthropological perspective on the comparative study of human societies and cultures. The course will detail various theoretical models developed in the 19th and 20th centuries to explain the similarities and differences in cultural systems.      (Fall),ANTH 211 or two 300-level ANTH courses with a grade of ‘C’ or better.,ANTH 400
ANTH,402,The Ethnography of Communication ,3,"At the intersection of linguistics and anthropology, the ethnography of communication has as its goal an understanding of the patterning of communicative behavior within culture. Topics to be covered in the course include: what it means to talk in different cultural contexts, the functions of literacy in the United States and elsewhere, the symbolic organization of the world in writing and speaking, language attitudes and social prestige, and how languages and cultures are acquired and reproduced. Readings will include case studies drawn from work on various cultures.",One 300-level ANTH course with a grade of ‘C’ or better.,ANTH 402
ANTH,416,Cyberspace Culture ,3,"The “information super highway,” “communications revolution” and “cyberspace” are used to describe the contemporary revolution in human communications. This course will explore the cultural and societal implications of computer-mediated communications (CMC) by addressing such topics and questions as: representations of self and self-identity in cyberspace, interactions in cyberspace, information technology and institutional change, community formation in cyberspace, democracy and collective action in cyberspace, and order and deviance in cyberspace. Throughout the course, contemporary technological advances will be compared and contrasted with the cultural and societal effects of previous technologies, such as the printing press, wireless telephone, television.","( ANTH 211 , SOCY 101 , or SOCY 101H ) and nine additional credits in ANTH or SOCY courses with a grade of ‘C’ or better.",ANTH 416
ANTH,419,Qualitative Methods in Social Research ,3,"This course will focus on the styles of research, analysis and epistemologies associated with qualitative research in the applied social and policy sciences. As an increasingly important mode of inquiry, qualitative, multi-method approaches are particularly relevant to the study of social interaction and behavior in natural settings. Qualitative approaches involve the collection and analysis of empirical information from multiple sources, such as first-person accounts, life histories, visual/printed records, semi-structured and open-ended interviews, informal and formal observations, biographical and autobiographical materials, among others. Students in the course will learn how to design, collect and analyze qualitative information by conducting a small, semester-long study. Sections of the research project will be prepared, presented and evaluated throughout the course.",ANTH 211 or SOCY 101 and nine additional credits in ANTH or SOCY with a grade of ‘C’ or better.,ANTH 419
ANTH,424,Psychological Anthropology ,3,"This course examines the inter-relationships between psychological processes, culture, and society. It will introduce the history and range of topics within psychological anthropology, including child socialization and self-making, religious experience and altered states of consciousness, emotion and cognition, and psychopathology across cultures. Students will explore how social and cultural environments shape people and how people make use of those socio-cultural worlds in ways that are psychologically satisfying and meaningful.","ENGL 100 and ( ANTH 211 , PSYC 100 , or SOCY 101 ) with a grade of ‘C’ or better.",ANTH 424
ANTH,480,Anthropological Research: Capstone ,3,"This capstone course provides students with an intensive, hands-on experience applying anthropological theories and methods to investigate a research topic. The course explores a range of research methods found within anthropology, including participant observation and informal and formal interviewing, followed by qualitative data analysis approaches. Over the semester students develop and implement a research project utilizing these techniques. The course also examines issues of representation. Students are expected to present their findings. Recommended Preparation: ANTH 400 .  (Spring)",ANTH 211 or SOCY 101 with a grade of ‘C’ or better. Six additional credits of upper-level ANTH courses with a grade of ‘C’ or better.,ANTH 480
ANTH,491H,Honors Thesis Research I ,3,"This course is the first in a two-course individual study sequence, along with ANTH 492H , that leads to fulfilling the requirements of the departmental Honors Program in Anthropology. During this sequence, the student completes an original research project leading to an Honors Thesis under the supervision of two full-time faculty members in the department who serve as the Honors Committee. The Honors Thesis typically is completed during a student’s final year at UMBC. Note: Interested students should contact their Anthropology major adviser or the Anthropology program director for more information about the Honors Thesis. Students considering graduate school in Anthropology are particularly encouraged to pursue this option. In addition to the prerequisites listed for this course, students must also have a cumulative GPA of 3.5 in all Anthropology and Sociology courses and receive approval from their committee members.","ANTH 480 and two additional upper level ANTH courses with a grade of a ‘B’ or better, minimum GPA of 3.0 and completion of 60 credits.",ANTH 491H
ANTH,492H,Honors Thesis Research II ,3,"This course is the second in a two-course individual study sequence, which begins with ANTH 491H . Together, these courses lead towards fulfilling the requirements of the departmental Honors Program in Anthropology. During this sequence, the student completes an original research project leading to an Honors Thesis under the supervision of two full-time faculty members in the department who serve as the Honors Committee.",ANTH 491H with a grade of ‘B’ or better.,ANTH 492H
ANTH,497,Advanced Selected Topics in Anthropology ,3,Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic.,ANTH 211 and nine additional credits of ANTH courses with a grade of ‘C’ or better.,ANTH 497
ANTH,499,Independent Study (1,3,This course is repeatable for credit.,Nine credits of ANTH courses with a grade of ‘C’ or better.,ANTH 499
ARBC,101,Elementary Arabic I ,4,"This course is an introduction to Arabic through a communicative approach. The language is learned in a thematic context, based on real-life situations. Listening comprehension and basic speaking skills are emphasized, but reading and writing the Arabic alphabet are also taught, as well as important elements of Arab culture and civilization.",,ARBC 101
ARBC,102,Elementary Arabic II ,4,"A continuation of ARBC 101 . Emphasis is on extending skills in spoken Arabic within the context of real-life situations. A greater amount of reading and writing is included, based on authentic material from Arab culture and civilization.",ARBC 101 with a grade of ‘C’ or better or two years of high school Arabic.,ARBC 102
ARBC,201,Intermediate Arabic I ,4,A continuation of ARBC 102 . The course will include a survey of more advanced grammar; emphasis will be on developing listening comprehension and on increasing conversational fluency in the language. There will be more reading of prose texts reflecting aspects of Arab culture and civilization.,ARBC 102 with grade of ‘C’ or better or three years of high school Arabic.,ARBC 201
ARBC,202,Intermediate Arabic II ,4,"This course develops a more precise and coherent use of the Modern Standard Arabic language. It develops the speaking, reading, writing, and listening skills, with more focus on syntax, morphology and grammar. Students will be involved in meaningful, functional communication through interactive activities that might be encountered in real life complex situations. The course will include a variety of reading and writing activities taken from materials representative of cultural topics.",ARBC 201 with a grade of ‘C’ or better or four years of high school Arabic.,ARBC 202
ARBC,301,Advanced Modern Standard Arabic I ,3,"Arabic 301 is the first part of a third-year sequence in Modern Standard Arabic (MSA). This course is designed to help students reach a high standard of proficiency in Arabic, by strengthening their reading-comprehension skills, expanding their vocabulary repertoire in media and poetry, enhancing their translation skills from Arabic to English and vice versa, refining and rebuilding their knowledge of sentence construction, and finally broadening their knowledge about the history of the Arabic poetry and literature.",ARBC 202 with a grade of ‘C’ or better.,ARBC 301
ARBC,302,Advanced Modern Standard Arabic II ,3,"Arabic 302 is the second part of a third-year sequence in Modern Standard Arabic (MSA). This course is a continuation to what was learned in the previous semester (Arabic 301). It is designed to help students reach a high standard of proficiency in Arabic, by strengthening their reading-comprehension skills, expanding on their vocabulary repertoire, refining and expanding their knowledge of sentence construction and the Arabic verb system, and finally broadening their knowledge of Arabic and Islamic culture.",ARBC 301 with a grade ‘C’ or better.,ARBC 302
ARBC,325,Introduction to Arabic Dialects ,3,"This course gives students a basic understanding of the linguistics of the Arabic dialects, and of the theory and practice of Arabic dialectology; to give them a solid foundation for future in-depth study of Egyptian (Masri), Levantine (Shami), or Moroccan (Darija) Arabic; and to give them the tools to enable them to independently acquire communicative competence in other Arabic dialects they might encounter in the course of their studies and beyond.  This course is repeatable for credit. Students may complete a maximum of 9 credits or 3 attempts.",ARBC 202 with a grade of ‘C’ or better.,ARBC 325
ARBC,333,Introduction to Arabic Translation ,3,"This course introduces students to the fundamentals of English-Arabic and Arabic-English translation. The course focuses on translating genres related to different disciplines, in order to enrich students’ vocabulary in various topics. This course provides clear explanations, discussion, examples and exercises that enable students to acquire the skills necessary to enhance their translation methods and understand translation issues. Examples are drawn from variety of sources including journalism, literature, politics, business, and law.",ARBC 202 with a grade of ‘C’ or better.,ARBC 333
ARBC,350,Arabic Media ,3,"This course introduces the language of print and Internet media to students of Arabic aiming to reach the advanced Arabic level. It familiarizes students with media vocabulary and text construction. Students will read and discuss media texts and will focus on meaning and text structure. Activities will include learning vocabulary, discussing text meaning, speaking on topics discussed, presentations, and listening and reading of up-to-date texts.",ARBC 202 with a grade of ‘C’ or better.,ARBC 350
ARBC,355,Introduction to Arabic Culture and Civilization ,3,"This course is an introductory survey of Arabic culture and civilization representing works from pre-Islamic to later thinkers and scholars. The course will trace the origins of the Arab people, their distinctive culture and their literature. Specific emphasis will be given to the revelation of the Qur’an to the Prophet Muhammad and to the spread of Islamic civilization during and after his death. Attention will also be given to Islam’s interactions with other cultures and its contributions to literature, art, music, and architecture.",ARBC 202 with a grade of ‘C’ or better.,ARBC 355
ARCH,100,Introduction to the Archaeology of the Ancient World ,3,"An introduction to the methods used by archaeologists to excavate and date material of the ancient cultures of the Near East, Egypt, Greece and Rome.",,ARCH 100
ARCH,120,World Archaeology ,3,An introductory survey of the development of human culture that includes both Old World and New World archaeology. The major objective is to provide students with a worldwide perspective for the study of important cultural innovations.,,ARCH 120
ARCH,200,Greek Archaeology and Art ,3,"The origins and development of the civilization that provides the basis for Western European culture. Architecture, sculpture and other remains will be examined.",,ARCH 200
ARCH,200H,Greek Archaeology and Art- Honors ,1,"This course is for students who wish to take an honors component in connection with ARCH 200 . The student must be enrolled in ARCH 200 to be eligible to take ARCH 200 . Various topics will be looked at in more depth via discussion, short papers and work on the Web.",,ARCH 200H
ARCH,201,Roman Archaeology and Art ,3,"The cultures of ancient Italy - the Romans and the Etruscans - are considered, using the evidence provided by architectural, sculptural and other remains.",,ARCH 201
ARCH,201H,Roman Archaeology and Art- Honors ,1,"This course is for students who wish to take an honors component in connection with ARCH 201 . The student must be enrolled in ARCH 201 to be eligible to take ARCH 201H. Various topics will be looked at in more depth via discussion, short papers and work on the Web.",,ARCH 201H
ARCH,220,Archaeology and Art of Ancient Egypt ,3,"This course explores all aspects of the civilization of ancient Egypt: government, religion, hieroglyphs, daily life, mummification, and the afterlife. With emphasis on art and archaeology, this survey ranges from the predynastic period (5000 BCE) to the death of Cleopatra (30 BCE).",,ARCH 220
ARCH,250,Topics in Archaeology ,3,An introductory course to various aspects of classical archaeology. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic.,,ARCH 250
ARCH,310,The Archaeology of Ancient Egypt ,3,"The way of life of Egypt’s people from 4000 B.C.E. until the Roman period, with emphasis upon the architecture, sculpture and painting of the Old, Middle and New Kingdoms.",,ARCH 310
ARCH,320,The Archaeology of The Land of Israel ,3,A study of the history and cultures of the land of Israel from Neolithic to Roman times as revealed through archaeology and ancient writers.,"ENGL 100 and one of the following with a grade of ‘C’ or better: any ARCH course, ANTH 211 , HIST 453 , HIST 455 , or HIST 456 .",ARCH 320
ARCH,325,Life and Death in Pompeii ,3,"The town of Pompeii, buried by the eruption of Mount Vesuvius in 79 CE, has yielded enormous insight into Roman social life. This course will investigate the people who lived and died at Pompeii through the houses, streets, tombs, skeletons, food, and objects they left behind. It will also interrogate how we come by this knowledge, examining the long history of excavation and tourism that makes Pompeii a window onto our relationship with the past. Recommended Preparation: ARCH 201 or ANCS 202 .",,ARCH 325
ARCH,330,Archaeology of Prehistoric Aegean ,3,"The history of the Aegean - Crete, Greece and the Cyclades - in the Neolithic and Bronze Ages is studied through archaeological remains. Special emphasis is placed on the Minoan and Mycenean civilizations.","ENGL 100 and one of the following with a grade of ‘C’ or better: any ARCH course, ANTH 211 , HIST 453 , HIST 455 , or HIST 456 .",ARCH 330
ARCH,340,Cities of the Past ,3,"This course deals with questions such as what is a city; how did cities develop, and what did they look like in antiquity? Material remains excavated by archaeologists in the countries surrounding the Mediterranean, from the early city-states of the Near East to the sophisticated urban settlements of the Roman Empire, will serve as models to answer these questions.","ENGL 100 and one of the following with a grade of ‘C’ or better: any ARCH course, ANTH 211 , HIST 453 , HIST 455 , or HIST 456 .",ARCH 340
ARCH,350,Topics in Archaeology ,3,"Topics may include such subjects as Pompeii and ancient burials. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Recommended Preparation: One course from the following: any ARCH course, ANTH 211 , HIST 453 , HIST 455 , or HIST 456 .",,ARCH 350
ARCH,360,Rise of Civilization ,3,"Our understanding of complex societies has been radically altered as a result of excavations in the Near East and Mesoamerica in the past 30 years. This course deals with the archaeological remains of settlements in these two areas, remains that help explain the causes and results of the change from the nomadic life of hunters and gatherers to the settled life of people who live in complex societies.","ENGL 100 and one of the following with a grade of ‘C’ or better: any ARCH course, ANTH 211 , HIST 453 , HIST 455 , or HIST 456 .",ARCH 360
ARCH,370,Maritime Archaeology ,3,"Analysis of aspects of earlier societies that were connected with seafaring, e.g. trade, shipbuilding, harbors and practices developed by maritime cultures. The focus may be on the ancient Mediterranean, or on other regions, such as the Chesapeake, or on a combination of periods. Case studies will demonstrate methods and theories that archaeologists use to derive meaning from artifacts in their cultural context. Recommended Preparation: One course from the following: any ARCH course, ANTH 211 , HIST 453 , HIST 455 , or HIST 456 .",,ARCH 370
ARCH,380,Hellenistic Archaeology and Art ,3,"The course will examine Hellenistic art, architecture, daily life, urbanization, trade and other connections among principalities of mainland Greece, Egypt, Asia Minor, the Near East and Rome from the late fourth to first centuries B.C.E. Together with material, culture, major intellectual and religious developments will be considered, e.g., Epicureanism, the Greeks and the Jews, the literature of Alexandria and mystery religions. Recommended Preparation: One course from the following: ANCS 201 , ARCH 200 , ARCH 201 , HIST 453 .",,ARCH 380
ARCH,397,Field Experience in Archaeology (1,6,"Archaeological field work. Students may earn academic credit by arrangement with the ancient studies department by working at an approved excavation, museum, laboratory or field school in the United States or abroad. Written work, in addition to practical experience, may be included.  This course is repeatable for credit. Students may complete a maximum of 12 credits.",,ARCH 397
ARCH,399,Advanced Readings in Archaeology (2,4,Selected readings to broaden and deepen the student’s background.  This course is repeatable for credit. Students may complete a maximum of 4 credits. Recommended Preparation: Permission of instructor.,,ARCH 399
ARCH,404,Seminar in Classical Archaeology ,3,Intensive readings in and discussion of a particular period or problem of ancient civilization. Recommended Preparation: Two archaeology courses and permission of the instructor.,,ARCH 404
ARCH,410,Archaeological Methods and Theory ,3,"Methods and theories used in archaeology for reconstructing cultural history and processes of cultural change. Emphasis on historical archaeology in both the Old and New Worlds. Recommended Preparation: One course in ARCH or ANTH, or permission of instructor.",,ARCH 410
ART,210,Visual Concepts I ,3,"Visual Concepts I introduces the visual art major to two-dimensional basic design principles, various perception and notation techniques, expression and subtractive color theory. Other issues covered include symmetry and asymmetry, formal and informal organization, proportion, perspective, visualization, imagination, illusion, rhythm, typography, narrative (linear/nonlinear), collage and text/image relationships.      (Fall)",,ART 210
ART,211,Visual Concepts II/Camera Vision ,3,"Visual Concepts II introduces the visual art major to creating still images via a camera. Formal and technical issues connected to camera operation, two-dimensional design, lighting, framing and introduction to the chemistry of photography will be covered. Through assignments, theoretical readings and historical examples, issues connected to the apparatus of the camera as a recording device also will be covered. Emphasis will be placed on developing a vocabulary for talking about images and on the ability to think critically about images. This course also will serve as an introduction to using the computer as a tool for manipulating images.      (Fall)",,ART 211
ART,212,"Visual Concepts III/Three Dimensional Form, Space and Interaction ",3,"Visual Concepts III introduces the visual art major to compositional issues as they relate to real, recorded and virtual space. Basic concepts of three-dimensional design, lighting and fabrication are covered, as are navigation and interaction design principles. The body in space is addressed in the context of installation, architecture and site-specific practices.      (Spring)",ART 210 and ART 211 with a grade of ‘C’ or better and completion of the Visual Arts Portfolio Review process.,ART 212
ART,213,Visual Concepts IV/Time-Based Media ,3,"Visual Concepts IV introduces the visual art major to time-based media and will focus on the relationship of image and sound in time-based media production. Students will study how sequencing and juxtaposition work in relation to narrative and non-narrative animation, video and film.      (Spring)",ART 210 and ART 211 with a grade of ‘C’ or better and completion of the Visual Arts Portfolio Review process.,ART 213
ART,214,Drawing I/Beginning Drawing ,3,"Drawing I introduces the visual art major to the visual vocabulary of drawing. Through materials and processes, drawing will be explored as a means of visual thinking, a way to depict what we see and visualize what we think, and a method of communicating ideas. Technical skills will be applied to an exploration of representation and visual invention, including figurative imagery. Recommended Preparation: ART 210 either previously or concurrently.  (Spring)",,ART 214
ART,215,Introduction to Art and Media Studies ,3,"Introduction to Art and Media Studies will introduce the visual art major to the conceptual and historical commonalities shared among photography, film, video, computer and other visual arts. Artists working in these interdisciplinary forms will be viewed and discussed.      (Fall)",,ART 215
ART,216,Studies in Visual Culture (Prehistory through the 1750s) ,3,"This course engages students in a focused study of six or seven specific, momentous periods in the history of world art dating from prehistory to the mid-eighteenth century. The selection of topics will be determined by the particular organizing principle adopted by the course instructor. For example, the organizing principle could be that of medium (architecture, painting, sculpture, decorative arts); of belief systems (religion, philosophy); of patronage; or of prevailing technological inventions and discoveries. By studying selected moments in the history of world art in some depth, students will gain an awareness of how art objects and visual culture both shape and represent societies and their histories. Topics will be published in the Schedule of Classes.     (Spring)",,ART 216
ART,216H,Studies in Visual Culture (Prehistory through the 1750s) ,3,"This course engages students in a focused study of six or seven specific, momentous periods in the history of world art dating from prehistory to the mid-eighteenth century. The selection of topics will be determined by the particular organizing principle adopted by the course instructor. For example, the organizing principle could be that of medium (architecture, painting, sculpture, decorative arts); of belief systems (religion, philosophy); of patronage; or of prevailing technological inventions and discoveries. By studying selected moments in the history of world art in some depth, students will gain an awareness of how art objects and visual culture both shape and represent societies and their histories. Topics will be published in the Schedule of Classes.",Admission to the Honors College.,ART 216H
ART,305,Introduction to Cinematic Arts ,3,In this production course students explore how digital media can be used as a means for creative expression and how this art form has evolved out of experimental film and video art traditions over the past 75 years. This is a hands-on production course. Students will pursue fundamental characteristics of the digital video medium to complete exercises in shooting and editing digital video and a final project. Note: ART 305 is the gateway course and must be passed with a grade of ‘B’ or better for students to continue onto upper-level Cinematic Arts courses.,ART 213 with a grade of ‘C’ or better. Completion of the Visual Arts Portfolio Review process or declared Visual Arts minor.,ART 305
ART,314,Drawing II ,3,This is an intermediate drawing course that will continue the study of the visual vocabulary of drawing through its materials and processes. Technical skills will be applied to an exploration of representation and visual invention. Issues addressed will include color and figurative imagery and conceptual approaches to drawing.  This course is repeatable for credit. Students may complete a maximum of 6 credits or 2 attempts.,ART 210 and ART 214 with a grade of ‘C’ or better. Completion of the Visual Arts Portfolio Review process or declared Visual Arts minor.,ART 314
ART,315,Intermediate Narrative Production ,3,"This class is designed to encourage an organic exploration of narrative cinema, to strengthen trust in your own ideas and instincts, and heighten your curiosity about experimental modes of storytelling. Though we will cover some areas of technical expertise as they relate specifically to narrative film production, students are expected to have a basic understanding of cameras, lights, microphones, and editing. Students will work independently to produce their own short narratives, as well as engaging in a study of contemporary narrative cinema. Recommended Preparation: ART 324 or ART 325 .",ART 305 with a grade of ‘B’ or better. Completion of the Visual Arts Portfolio Review process or declared Visual Arts minor.,ART 315
ART,318,Visual Culture of City and Cinema in South Asia ,3,"South Asian cities are loci of culture, commerce, religion, politics, crime and poverty. This course studies urbanism in contemporary South Asia from two perspectives: through the influential lens of Indian entertainment or ‘Bollywood’ cinema and through an examination of visual cultural forms, derived from the cinema, that pervade urban public spaces in South Asia. Examples include street murals, commercial signage, haute couture, wedding festivities and even the addition of new deities to the Hindu pantheon.",ART 216 or ASIA 100 with a grade of ‘D’ or better.,ART 318
ART,319,Space and Place in Public Art and Urbanism ,3,"This course studies the production and reception of public art. Through case studies, encompassing a range of public art forms, from ephemeral actions to monumental sculpture, we examine the spatial, social and political impact of public art in urban locations. Investigations of public art are conducted through reviewing theories of space and place as well as through practical experience, whereby teams of students collaborate with Baltimore community leaders to propose and execute public art projects.","ART 216 , ENTR 200 , or ENTR 201 with a grade of ‘C’ or better.",ART 319
ART,320,Methods I: 2-D Multiples ,3,"An introduction to 2-dimensional multiples where students gain a knowledge of traditional contemporary print and fabrication methods from a fine arts perspective. Printmaking, drawing, design, digital imagery and layering will be employed as a vehicle for exploration of the student’s creative work.      (Fall)",ART 210 and ART 214 with a grade of ‘C’ or better. Completion of the Visual Arts Portfolio Review process or declared Visual Arts minor.,ART 320
ART,321,From the Enlightenment to the Birth of Modernism (1750-1880) ,3,"A study of the visual arts from the Enlightenment era (1750) to the advent of modernism (1880), with an emphasis on the changing social and aesthetic conditions that influenced later art forms. From the Enlightenment to the French Revolution to the impact of photography, the period gave rise to revolution and innovation. Art reflected and responded to these conditions with its own radical shifts in style and content from neo-classicism and romanticism to realism and impressionism. This course will explore how the developments of the 18th and 19th centuries laid the foundation for modernism.",ART 216 or ART 221 with a grade of ‘C’ or better.,ART 321
ART,322,Social Entrepreneurship in Place ,3,"This course introduces the students to a range of interdisciplinary community arts, maker culture and examples of entrepreneurial case studies. These examples embrace civic agency-based methods that will be applied to approach projects in this transitional urban/suburban border community. Students, participants and stakeholders will identify and manage logistical problems inherent in budgeting, design, fabrication, testing and implementation of entrepreneurial solutions that can be modeled within the semester time frame.","ART 215 , ENTR 200 , or ENTR 201 with a grade of ‘C’ or better.",ART 322
ART,323,Modernism (1880-1960) ,3,"A survey of turning points in the development of modernism in the visual arts beginning with European movements in the late nineteenth century (e.g. impressionism and post impressionism) and continuing to artistic movements of the first half of the twentieth century (e.g. cubism, German expressionism, Italian futurism, Russian constructivism, dada and surrealism). The course closes with key developments in American modernism (e.g. the Armory show, the Harlem renaissance, social realism, abstract expressionism) including a brief glimpse at pop art. All art historical developments will be considered in their specific sociopolitical and economic contexts. Note: This course is designated as a gateway course for students concentrating in art history and museum studies and must be passed with a grade of ‘B’ or better.",ART 216 or ART 221 with a grade of ‘C’ or better.,ART 323
